time (seconds),accelerometer X (m/sec^2 highlighted),accelerometer Y (m/sec^2 highlighted),accelerometer Z (m/sec^2 highlighted)
11.968,-0.14,-9.78,-0.04
11.984,-0.06,-9.83,-0.09
12.0,-0.07,-9.83,0.01
12.016,-0.18,-9.9,0.01
12.032,-0.17,-9.84,-0.1
12.048,-0.13,-9.79,0.09
12.064,-0.26,-9.86,0.12
12.08,-0.19,-9.88,-0.1
12.096,-0.12,-9.79,-0.01
12.112,-0.21,-9.89,0.03
12.128,-0.29,-9.86,0.01
12.144,-0.31,-9.77,-0.0
12.16,-0.29,-9.82,0.02
12.176,-0.23,-9.89,0.05
12.192,-0.27,-9.86,0.02
12.208,-0.26,-9.8,0.13
12.224,-0.27,-9.83,0.11
12.24,-0.25,-9.85,0.07
12.256,-0.2,-9.86,0.23
12.272,-0.29,-9.84,0.11
12.288,-0.28,-9.81,-0.04
12.304,-0.26,-9.91,0.03
12.32,-0.23,-9.74,0.14
12.336,-0.2,-9.77,0.06
12.352,-0.28,-9.81,0.08
12.368,-0.3,-9.79,0.09
12.384,-0.25,-9.92,0.07
12.4,-0.25,-9.83,0.22
12.416,-0.27,-9.8,0.1
12.432,-0.25,-9.83,0.0
12.448,-0.23,-9.77,0.04
12.464,-0.26,-9.83,0.08
12.48,-0.27,-9.79,0.11
12.496,-0.27,-9.81,-0.03
12.512,-0.22,-9.79,0.03
12.528,-0.24,-9.79,0.04
12.544,-0.17,-9.82,0.06
12.56,-0.2,-9.84,0.14
12.576,-0.21,-9.83,0.07
12.592,-0.23,-9.75,-0.0
12.608,-0.23,-9.88,0.12
12.624,-0.17,-9.88,0.0
12.64,-0.17,-9.89,0.16
12.656,-0.15,-9.85,0.09
12.672,-0.18,-9.8,0.02
12.688,-0.14,-9.87,-0.04
12.704,-0.24,-9.77,0.06
12.72,-0.17,-9.79,0.03
12.736,-0.1,-9.74,0.02
12.752,-0.12,-9.85,0.13
12.768,-0.09,-9.81,-0.01
12.784,-0.1,-9.82,0.07
12.8,-0.14,-9.78,0.1
12.816,-0.18,-9.92,-0.07
12.832,-0.16,-9.85,-0.04
12.848,-0.18,-9.86,-0.08
12.864,-0.11,-9.83,-0.09
12.88,-0.16,-9.79,0.11
12.896,-0.23,-9.86,-0.06
12.912,-0.13,-9.86,-0.01
12.928,-0.13,-9.82,0.04
12.944,-0.18,-9.8,-0.06
12.96,-0.2,-9.87,0.2
12.976,-0.14,-9.7,0.0
12.992,-0.09,-9.9,-0.17
13.008,-0.31,-9.82,0.03
13.024,-0.17,-9.89,0.05
13.04,-0.21,-9.9,0.09
13.056,-0.22,-9.78,-0.1
13.072,-0.25,-9.83,-0.02
13.088,-0.27,-9.86,-0.04
13.104,-0.19,-9.82,0.03
13.12,-0.22,-9.7,0.04
13.136,-0.21,-9.79,-0.02
13.152,-0.25,-9.77,0.03
13.168,-0.19,-9.75,0.06
13.184,-0.32,-9.75,0.06
13.2,-0.17,-9.87,-0.14
13.216,-0.3,-9.81,-0.03
13.232,-0.19,-9.91,0.15
13.248,-0.22,-9.81,0.02
13.264,-0.19,-9.84,0.04
13.28,-0.15,-9.84,0.04
13.296,-0.23,-9.8,0.08
13.312,-0.26,-9.88,0.05
13.328,-0.23,-9.85,-0.08
13.344,-0.22,-9.82,0.06
13.36,-0.23,-9.84,0.12
13.376,-0.26,-9.88,0.07
13.392,-0.21,-9.89,0.02
13.408,-0.2,-9.85,0.05
13.424,-0.25,-9.84,0.01
13.44,-0.15,-9.81,0.18
13.456,-0.15,-9.89,0.08
13.472,-0.19,-9.8,0.03
13.488,-0.21,-9.95,-0.01
13.504,-0.15,-9.86,0.14
13.52,-0.15,-9.88,0.07
13.536,-0.2,-9.89,-0.04
13.552,-0.19,-9.77,0.13
13.568,-0.16,-9.93,0.01
13.584,-0.12,-9.79,0.19
13.6,-0.18,-9.79,0.01
13.616,-0.1,-9.86,0.15
13.632,-0.09,-9.87,0.09
13.648,-0.14,-9.78,0.2
13.664,-0.15,-9.79,0.02
13.68,-0.1,-9.77,-0.02
13.696,-0.12,-9.78,0.09
13.712,-0.23,-9.79,0.09
13.728,-0.17,-9.95,0.1
13.744,-0.19,-9.77,0.15
13.76,-0.16,-9.88,-0.03
13.776,-0.16,-9.83,0.07
13.792,-0.28,-9.88,0.14
13.808,-0.1,-9.82,-0.05
13.824,-0.32,-9.8,0.21
13.84,-0.24,-9.84,0.04
13.856,-0.09,-9.75,0.1
13.872,-0.18,-9.76,-0.08
13.888,-0.12,-9.81,-0.03
13.904,-0.22,-9.87,0.14
13.92,-0.23,-9.75,-0.0
13.936,-0.18,-9.84,0.14
13.952,-0.28,-9.85,0.0
13.968,-0.24,-9.81,0.08
13.984,-0.19,-9.94,0.04
14.0,-0.25,-9.81,0.01
14.016,-0.19,-9.8,0.01
14.032,-0.27,-9.84,0.01
14.048,-0.2,-9.85,-0.01
14.064,-0.18,-9.82,0.02
14.08,-0.31,-9.81,0.05
14.096,-0.25,-9.78,-0.01
14.112,-0.28,-9.84,-0.02
14.128,-0.23,-9.89,-0.02
14.144,-0.29,-9.8,0.18
14.16,-0.18,-9.74,0.0
14.176,-0.21,-9.79,-0.14
14.192,-0.22,-9.84,0.07
14.208,-0.2,-9.88,0.1
14.224,-0.17,-9.84,0.09
14.24,-0.29,-9.8,0.07
14.256,-0.2,-9.84,0.15
14.272,-0.23,-9.82,0.09
14.288,-0.16,-9.81,0.01
14.304,-0.15,-9.83,-0.02
14.32,-0.07,-9.78,0.07
14.336,-0.16,-9.85,0.08
14.352,-0.23,-9.79,-0.07
14.368,-0.11,-9.81,-0.06
14.384,-0.18,-9.81,0.05
14.4,-0.16,-9.85,0.04
14.416,-0.09,-9.87,0.1
14.432,-0.21,-9.98,0.03
14.448,-0.22,-9.81,0.12
14.464,-0.15,-9.74,0.01
14.48,-0.14,-9.87,0.03
14.496,-0.19,-9.84,0.03
14.512,-0.23,-9.89,0.03
14.528,-0.18,-9.81,0.01
14.544,-0.07,-9.75,0.06
14.56,-0.17,-9.79,0.06
14.576,-0.16,-9.8,0.05
14.592,-0.2,-9.74,0.02
14.608,-0.11,-9.82,-0.03
14.624,-0.21,-9.82,0.05
14.64,-0.21,-9.75,0.02
14.656,-0.12,-9.82,0.02
14.672,-0.27,-9.76,0.2
14.688,-0.18,-9.73,0.08
14.704,-0.18,-9.81,0.11
14.72,-0.14,-9.86,0.02
14.736,-0.25,-9.85,-0.01
14.752,-0.27,-9.82,0.02
14.768,-0.24,-9.77,0.08
14.784,-0.17,-9.9,-0.03
14.8,-0.18,-9.8,0.05
14.816,-0.27,-9.71,0.09
14.832,-0.23,-9.85,0.22
14.848,-0.28,-9.82,0.01
14.864,-0.29,-9.94,0.15
14.88,-0.1,-9.85,0.12
14.896,-0.24,-9.86,0.12
14.912,-0.18,-9.8,0.16
14.928,-0.18,-9.86,0.14
14.944,-0.13,-9.82,0.02
14.96,-0.16,-9.82,0.1
14.976,-0.1,-9.84,0.16
14.992,-0.25,-9.8,0.03
15.008,-0.25,-9.87,0.02
15.024,-0.28,-9.75,0.02
15.04,-0.25,-9.92,0.15
15.056,-0.24,-9.81,-0.04
15.072,-0.3,-9.82,-0.03
15.088,-0.29,-9.67,0.09
15.104,-0.18,-9.81,0.0
15.12,-0.2,-9.77,0.01
15.136,-0.13,-9.92,0.02
15.152,-0.25,-9.85,0.16
15.168,-0.15,-9.81,-0.02
15.184,-0.21,-9.82,0.07
15.2,-0.12,-9.8,-0.04
15.216,-0.25,-9.8,-0.1
15.232,-0.04,-9.87,-0.04
15.248,-0.14,-9.81,0.09
15.264,-0.02,-9.79,0.02
15.28,-0.09,-9.77,0.07
15.296,-0.06,-9.79,0.11
15.312,-0.07,-9.76,-0.04
15.328,-0.11,-9.76,0.01
15.344,-0.13,-9.88,-0.05
15.36,-0.18,-9.71,-0.07
15.376,-0.11,-9.8,0.04
15.392,-0.23,-9.84,0.06
15.408,-0.22,-9.89,-0.1
15.424,-0.16,-9.81,0.02
15.44,-0.19,-9.87,-0.07
15.456,-0.21,-9.86,0.06
15.472,-0.2,-9.88,0.04
15.488,-0.15,-9.82,0.08
15.504,-0.23,-9.74,0.11
15.52,-0.12,-9.87,-0.01
15.536,-0.2,-9.76,0.07
15.552,-0.16,-9.75,-0.07
15.568,-0.12,-9.84,-0.02
15.584,-0.2,-9.8,0.09
15.6,-0.14,-9.73,0.01
15.616,-0.17,-9.85,0.02
15.632,-0.22,-9.88,0.09
15.648,-0.17,-9.9,-0.02
15.664,-0.17,-9.77,0.1
15.68,-0.18,-9.79,0.11
15.696,-0.11,-9.82,-0.1
15.712,-0.15,-9.87,-0.08
15.728,-0.21,-9.84,0.06
15.744,-0.27,-9.89,0.0
15.76,-0.27,-9.86,0.15
15.776,-0.24,-9.85,-0.11
15.792,-0.28,-9.89,0.01
15.808,-0.25,-9.81,0.02
15.824,-0.23,-9.8,-0.07
15.84,-0.23,-9.76,-0.03
15.856,-0.16,-9.81,0.02
15.872,-0.19,-9.69,0.04
15.888,-0.19,-9.88,-0.02
15.904,-0.09,-9.79,0.11
15.92,-0.09,-9.84,0.06
15.936,-0.2,-9.83,0.01
15.952,-0.15,-9.87,0.02
15.968,-0.19,-9.88,0.16
15.984,-0.24,-9.85,0.08
16.0,-0.14,-9.83,0.01
16.016,-0.17,-9.89,0.05
16.032,-0.08,-9.84,0.12
16.048,-0.16,-9.76,-0.05
16.064,-0.13,-9.87,-0.07
16.08,-0.15,-9.8,0.07
16.096,-0.17,-9.89,-0.05
16.112,-0.15,-9.88,0.1
16.128,-0.16,-9.87,0.05
16.144,-0.16,-9.77,0.06
16.16,-0.13,-9.84,0.05
16.176,-0.12,-9.85,0.02
16.192,-0.14,-9.79,-0.07
16.208,-0.19,-9.9,0.03
16.224,-0.12,-9.83,0.06
16.24,-0.14,-9.86,-0.04
16.256,-0.13,-9.85,-0.04
16.272,-0.04,-9.83,0.07
16.288,-0.15,-9.9,-0.04
16.304,-0.17,-9.79,0.04
16.32,-0.12,-9.88,-0.09
16.336,-0.12,-9.78,-0.02
16.352,-0.16,-9.87,0.07
16.368,-0.18,-9.82,-0.06
16.384,-0.14,-9.78,-0.04
16.4,-0.2,-9.83,-0.01
16.416,-0.22,-9.89,-0.06
16.432,-0.15,-9.82,0.0
16.448,-0.3,-9.86,-0.06
16.464,-0.25,-9.84,-0.03
16.48,-0.21,-9.8,-0.0
16.496,-0.23,-9.88,-0.08
16.512,-0.27,-9.74,0.03
16.528,-0.22,-9.78,-0.1
16.544,-0.15,-9.83,-0.05
16.56,-0.27,-9.64,0.1
16.576,-0.37,-9.82,0.12
16.592,-0.18,-9.81,-0.01
16.608,-0.19,-9.83,0.04
16.624,-0.23,-9.8,0.12
16.64,-0.27,-9.78,-0.15
16.656,-0.22,-9.76,-0.01
16.672,-0.22,-9.76,0.02
16.688,-0.14,-9.81,-0.04
16.704,-0.22,-9.79,0.08
16.72,-0.21,-9.8,0.1
16.736,-0.2,-9.86,-0.05
16.752,-0.18,-9.76,-0.09
16.768,-0.18,-9.81,-0.1
16.784,-0.16,-9.86,-0.06
16.8,-0.16,-9.84,0.05
16.816,-0.12,-9.85,-0.07
16.832,-0.1,-9.87,0.08
16.848,-0.12,-9.9,0.11
16.864,-0.17,-9.92,-0.03
16.88,-0.11,-9.82,0.08
16.896,-0.14,-9.83,-0.02
16.912,-0.01,-9.92,-0.07
16.928,-0.18,-9.85,-0.04
16.944,-0.04,-9.88,0.02
16.96,-0.06,-9.87,-0.08
16.976,-0.12,-9.86,0.07
16.992,-0.05,-9.8,0.09
17.008,-0.05,-9.77,-0.01
17.024,-0.12,-9.78,-0.0
17.04,-0.02,-9.91,0.0
17.056,-0.1,-9.82,0.07
17.072,-0.25,-9.88,0.04
17.088,-0.22,-9.88,0.05
17.104,-0.14,-9.79,-0.05
17.12,-0.17,-9.79,0.1
17.136,-0.13,-9.86,0.1
17.152,-0.17,-9.82,-0.05
17.168,-0.19,-9.72,0.14
17.184,-0.12,-9.81,0.02
17.2,-0.12,-9.87,-0.11
17.216,-0.14,-9.89,0.11
17.232,-0.16,-9.83,0.05
17.248,-0.1,-9.82,0.11
17.264,-0.15,-9.85,0.13
17.28,-0.16,-9.79,0.03
17.296,-0.01,-9.8,-0.07
17.312,-0.31,-9.84,0.1
17.328,-0.27,-9.8,-0.02
17.344,-0.33,-9.84,-0.01
17.36,-0.2,-9.76,-0.07
17.376,-0.32,-9.8,0.1
17.392,-0.23,-9.82,-0.02
17.408,-0.14,-9.93,0.14
17.424,-0.16,-9.78,0.07
17.44,-0.24,-9.82,0.1
17.456,-0.24,-9.78,-0.0
17.472,-0.2,-9.82,0.02
17.488,-0.14,-9.77,0.09
17.504,-0.17,-9.82,-0.03
17.52,-0.13,-9.82,-0.04
17.536,-0.1,-9.91,-0.05
17.552,-0.19,-9.81,0.1
17.568,-0.11,-9.78,-0.13
17.584,-0.09,-9.78,0.03
17.6,-0.15,-9.75,-0.04
17.616,-0.06,-9.87,-0.09
17.632,-0.13,-9.85,-0.08
17.648,-0.11,-9.81,0.02
17.664,-0.13,-9.84,-0.07
17.68,-0.11,-9.87,-0.03
17.696,-0.17,-9.9,0.07
17.712,-0.19,-9.87,-0.09
17.728,-0.15,-9.78,-0.06
17.744,-0.17,-9.76,-0.14
17.76,-0.16,-9.84,-0.04
17.776,-0.11,-9.8,0.05
17.792,-0.08,-9.93,0.1
17.808,-0.1,-9.8,-0.04
17.824,-0.18,-9.8,-0.05
17.84,-0.11,-9.86,-0.11
17.856,-0.05,-9.79,-0.14
17.872,-0.09,-9.78,0.0
17.888,-0.1,-9.74,0.01
17.904,-0.12,-9.8,-0.06
17.92,-0.06,-9.86,-0.05
17.936,-0.14,-9.76,0.04
17.952,-0.15,-9.73,-0.02
17.968,-0.1,-9.97,-0.05
17.984,-0.07,-9.77,-0.03
18.0,-0.22,-9.86,-0.03
18.016,-0.14,-9.8,-0.02
18.032,-0.11,-9.76,-0.06
18.048,-0.23,-9.83,0.04
18.064,-0.22,-9.86,0.02
18.08,-0.17,-9.85,-0.01
18.096,-0.21,-9.82,-0.16
18.112,-0.26,-9.78,0.06
18.128,-0.26,-9.78,-0.01
18.144,-0.22,-9.8,0.05
18.16,-0.19,-9.77,0.06
18.176,-0.18,-9.91,0.02
18.192,-0.21,-9.88,0.01
18.208,-0.25,-9.85,-0.0
18.224,-0.22,-9.83,0.08
18.24,-0.14,-9.78,-0.08
18.256,-0.18,-9.86,0.16
18.272,-0.24,-9.75,0.02
18.288,-0.16,-9.8,0.05
18.304,-0.22,-9.92,0.0
18.32,-0.17,-9.82,-0.05
18.336,-0.19,-9.84,0.01
18.352,-0.22,-9.8,0.01
18.368,-0.14,-9.86,0.01
18.384,-0.16,-9.75,0.07
18.4,-0.1,-9.84,-0.01
18.416,-0.19,-9.86,-0.04
18.432,-0.19,-9.81,0.04
18.448,-0.11,-9.88,-0.11
18.464,-0.14,-9.79,-0.02
18.48,-0.15,-9.81,0.0
18.496,-0.1,-9.78,-0.0
18.512,-0.17,-9.77,-0.02
18.528,-0.06,-9.79,0.04
18.544,0.0,-9.87,-0.02
18.56,-0.13,-9.82,0.05
18.576,-0.16,-9.75,0.07
18.592,-0.16,-9.72,-0.09
18.608,-0.06,-9.71,-0.09
18.624,-0.15,-9.85,-0.09
18.64,-0.03,-9.77,-0.02
18.656,-0.12,-9.8,-0.13
18.672,-0.06,-9.72,0.02
18.688,-0.16,-9.82,-0.04
18.704,-0.12,-9.94,-0.1
18.72,-0.09,-9.76,-0.12
18.736,-0.12,-9.77,-0.12
18.752,-0.1,-9.94,0.02
18.768,-0.17,-9.85,-0.03
18.784,-0.05,-9.77,0.03
18.8,-0.22,-9.78,0.06
18.816,-0.07,-9.88,-0.09
18.832,-0.16,-9.81,-0.06
18.848,-0.07,-9.84,0.02
18.864,-0.03,-9.89,-0.09
18.88,-0.17,-9.84,-0.01
18.896,-0.16,-9.78,-0.09
18.912,-0.15,-9.88,-0.04
18.928,-0.23,-9.82,-0.09
18.944,-0.24,-9.91,-0.13
18.96,-0.12,-9.84,-0.03
18.976,-0.22,-9.8,0.01
18.992,-0.18,-9.82,-0.11
19.008,-0.17,-9.86,-0.01
19.024,-0.23,-9.87,0.01
19.04,-0.21,-9.82,0.02
19.056,-0.22,-9.86,0.05
19.072,-0.23,-9.8,-0.08
19.088,-0.24,-9.77,-0.01
19.104,-0.18,-9.81,-0.14
19.12,-0.16,-9.76,-0.06
19.136,-0.16,-9.86,-0.06
19.152,-0.21,-9.87,-0.13
19.168,-0.22,-9.89,-0.09
19.184,-0.2,-9.92,-0.03
19.2,-0.13,-9.84,0.03
19.216,-0.15,-9.74,-0.06
19.232,-0.16,-9.82,-0.1
19.248,-0.13,-9.85,-0.15
19.264,-0.1,-9.87,-0.03
19.28,-0.12,-9.79,-0.17
19.296,-0.16,-9.84,-0.15
19.312,-0.15,-9.86,-0.02
19.328,-0.12,-9.86,-0.11
19.344,-0.07,-9.85,-0.03
19.36,-0.13,-9.89,-0.05
19.376,-0.18,-9.75,-0.07
19.392,-0.21,-9.84,-0.08
19.408,-0.16,-9.82,0.04
19.424,-0.09,-9.78,-0.04
19.44,-0.24,-9.82,0.0
19.456,-0.06,-9.85,0.04
19.472,-0.1,-9.85,0.07
19.488,-0.06,-9.8,0.07
19.504,-0.12,-9.79,-0.03
19.52,-0.11,-9.8,-0.01
19.536,-0.09,-9.84,-0.0
19.552,-0.15,-9.77,0.09
19.568,-0.04,-9.85,0.08
19.584,-0.12,-9.76,-0.1
19.6,-0.04,-9.77,-0.11
19.616,-0.04,-9.9,-0.05
19.632,-0.18,-9.82,-0.07
19.648,-0.15,-9.76,-0.08
19.664,-0.17,-9.77,-0.21
19.68,-0.14,-9.86,0.02
19.696,-0.21,-9.82,-0.06
19.712,-0.21,-9.81,-0.16
19.728,-0.19,-9.84,0.03
19.744,-0.23,-9.8,-0.17
19.76,-0.2,-9.81,-0.07
19.776,-0.13,-9.75,0.05
19.792,-0.2,-9.78,0.04
19.808,-0.23,-9.84,-0.06
19.824,-0.09,-9.75,-0.08
19.84,-0.18,-9.7,-0.01
19.856,-0.16,-9.79,0.01
19.872,-0.14,-9.78,0.02
19.888,-0.16,-9.81,0.06
19.904,-0.22,-9.82,-0.06
19.92,-0.23,-9.8,-0.02
19.936,-0.14,-9.86,-0.13
19.952,-0.08,-9.8,0.01
19.968,-0.24,-9.89,-0.09
19.984,-0.09,-9.84,-0.06
20.0,-0.21,-9.76,-0.03
20.016,-0.13,-9.74,0.01
20.032,-0.2,-9.84,0.09
20.048,-0.19,-9.81,-0.1
20.064,-0.23,-9.88,-0.17
20.08,-0.2,-9.84,-0.05
20.096,-0.12,-9.82,-0.11
20.112,-0.11,-9.81,0.01
20.128,-0.15,-9.83,0.02
20.144,-0.16,-9.79,-0.13
20.16,-0.18,-9.84,-0.1
20.176,-0.08,-9.88,-0.1
20.192,-0.08,-9.82,-0.27
20.208,-0.07,-9.79,-0.03
20.224,-0.1,-9.85,-0.02
20.24,-0.02,-9.81,0.08
20.256,-0.14,-9.77,-0.15
20.272,-0.14,-9.87,-0.02
20.288,-0.18,-9.85,-0.06
20.304,-0.1,-9.81,-0.22
20.32,-0.1,-9.93,0.02
20.336,-0.13,-9.81,0.02
20.352,-0.12,-9.84,-0.16
20.368,-0.04,-9.85,-0.09
20.384,-0.05,-9.75,-0.11
20.4,-0.09,-9.86,-0.06
20.416,-0.2,-9.79,-0.14
20.432,-0.15,-9.86,-0.27
20.448,-0.15,-9.77,-0.13
20.464,-0.11,-9.85,-0.04
20.48,-0.11,-9.76,-0.12
20.496,-0.13,-9.83,-0.14
20.512,-0.15,-9.87,0.06
20.528,-0.21,-9.81,-0.13
20.544,-0.15,-9.84,-0.14
20.56,-0.1,-9.79,-0.12
20.576,-0.14,-9.75,0.1
20.592,-0.08,-9.73,0.02
20.608,-0.16,-9.81,-0.02
20.624,-0.19,-9.79,-0.08
20.64,-0.2,-9.77,-0.1
20.656,-0.25,-9.84,0.12
20.672,-0.16,-9.76,0.09
20.688,-0.26,-9.88,0.01
20.704,-0.11,-9.74,0.08
20.72,-0.23,-9.82,-0.05
20.736,-0.22,-9.84,-0.07
20.752,-0.22,-9.86,-0.09
20.768,-0.16,-9.85,-0.0
20.784,-0.13,-9.92,-0.04
20.8,-0.14,-9.87,0.19
20.816,-0.08,-9.85,-0.01
20.832,-0.2,-9.82,0.02
20.848,-0.1,-9.89,-0.08
20.864,-0.08,-9.85,0.05
20.88,-0.16,-9.75,0.04
20.896,-0.11,-9.79,0.05
20.912,-0.09,-9.85,-0.07
20.928,-0.25,-9.85,0.0
20.944,-0.13,-9.82,-0.06
20.96,-0.12,-9.79,-0.04
20.976,-0.16,-9.73,0.13
20.992,-0.2,-9.75,0.01
21.008,-0.18,-9.85,-0.04
21.024,-0.11,-9.84,-0.04
21.04,-0.12,-9.72,0.01
21.056,-0.1,-9.8,0.03
21.072,-0.13,-9.81,0.02
21.088,-0.12,-9.92,-0.14
21.104,-0.11,-9.88,-0.13
21.12,-0.05,-9.84,0.15
21.136,-0.09,-9.88,-0.21
21.152,-0.02,-9.81,0.09
21.168,-0.18,-9.86,-0.04
21.184,-0.09,-9.83,0.05
21.2,0.05,-9.82,-0.09
21.216,-0.11,-9.84,0.08
21.232,-0.16,-9.86,-0.03
21.248,-0.12,-9.87,-0.05
21.264,-0.12,-9.81,-0.21
21.28,-0.1,-9.77,-0.05
21.296,-0.09,-9.85,-0.11
21.312,-0.2,-9.78,-0.07
21.328,-0.17,-9.79,-0.03
21.344,-0.09,-9.78,-0.12
21.36,-0.17,-9.84,-0.09
21.376,-0.25,-9.8,-0.16
21.392,-0.12,-9.79,-0.11
21.408,-0.21,-9.73,-0.08
21.424,-0.14,-9.83,-0.19
21.44,-0.15,-9.77,-0.24
21.456,-0.19,-9.75,-0.13
21.472,-0.2,-9.83,-0.03
21.488,-0.2,-9.87,-0.11
21.504,-0.17,-9.84,-0.1
21.52,-0.26,-9.79,-0.04
21.536,-0.18,-9.84,-0.08
21.552,-0.18,-9.88,-0.15
21.568,-0.16,-9.85,-0.05
21.584,-0.16,-9.9,-0.09
21.6,-0.19,-9.77,-0.02
21.616,-0.13,-9.85,-0.07
21.632,-0.11,-9.87,-0.07
21.648,-0.17,-9.84,-0.06
21.664,-0.17,-9.8,-0.03
21.68,-0.22,-9.77,-0.02
21.696,-0.16,-9.72,0.01
21.712,-0.16,-9.8,-0.03
21.728,-0.08,-9.89,-0.12
21.744,-0.19,-9.88,-0.04
21.76,-0.15,-9.85,0.01
21.776,-0.16,-9.8,-0.01
21.792,-0.17,-9.84,-0.01
21.808,-0.12,-9.77,-0.15
21.824,-0.11,-9.85,-0.06
21.84,0.0,-10.0,-0.17
21.856,-0.22,-9.87,0.15
21.872,0.01,-9.8,0.02
21.888,-0.1,-9.76,0.06
21.904,-0.09,-9.85,0.03
21.92,-0.14,-9.76,-0.12
21.936,-0.12,-9.83,0.02
21.952,-0.15,-9.91,-0.02
21.968,-0.04,-9.83,-0.09
21.984,-0.05,-9.86,-0.06
22.0,-0.1,-9.84,0.12
22.016,-0.1,-9.83,-0.03
22.032,-0.13,-9.89,-0.0
22.048,-0.12,-9.75,0.06
22.064,-0.12,-9.83,0.04
22.08,-0.04,-9.88,0.03
22.096,-0.1,-9.82,-0.0
22.112,-0.07,-9.76,0.14
22.128,-0.09,-9.86,0.0
22.144,-0.13,-9.78,-0.05
22.16,-0.1,-9.78,-0.04
22.176,-0.13,-9.84,0.02
22.192,-0.17,-9.84,0.03
22.208,-0.11,-9.77,-0.04
22.224,-0.1,-9.8,0.0
22.24,-0.13,-9.79,-0.03
22.256,-0.22,-9.88,-0.13
22.272,-0.06,-9.79,-0.12
22.288,-0.22,-9.72,0.14
22.304,-0.23,-9.84,0.07
22.32,-0.21,-9.85,-0.06
22.336,-0.22,-9.91,-0.06
22.352,-0.15,-9.8,0.02
22.368,-0.11,-9.88,0.05
22.384,-0.19,-9.79,-0.01
22.4,-0.2,-9.81,-0.04
22.416,-0.13,-9.87,-0.17
22.432,-0.2,-9.81,-0.05
22.448,-0.16,-9.84,0.07
22.464,-0.16,-9.85,-0.03
22.48,-0.21,-9.8,-0.04
22.496,-0.18,-9.82,0.08
22.512,-0.06,-9.8,0.05
22.528,-0.23,-9.79,-0.17
22.544,-0.11,-9.92,-0.04
22.56,-0.07,-9.79,-0.07
22.576,-0.09,-9.85,0.02
22.592,-0.17,-9.79,-0.16
22.608,-0.08,-9.78,-0.02
22.624,-0.08,-9.86,-0.16
22.64,-0.14,-9.73,-0.05
22.656,-0.15,-9.89,-0.02
22.672,-0.1,-9.79,-0.07
22.688,-0.15,-9.85,-0.04
22.704,-0.16,-9.77,0.02
22.72,-0.09,-9.88,-0.04
22.736,-0.1,-9.82,-0.13
22.752,-0.15,-9.82,-0.13
22.768,-0.13,-9.81,-0.07
22.784,-0.07,-9.85,0.01
22.8,-0.16,-9.87,-0.06
22.816,-0.09,-9.87,-0.09
22.832,-0.09,-9.87,-0.04
22.848,-0.09,-9.86,-0.0
22.864,0.0,-9.82,-0.07
22.88,-0.04,-9.88,-0.01
22.896,-0.08,-9.93,0.05
22.912,-0.12,-9.92,0.06
22.928,-0.08,-9.84,0.01
22.944,-0.06,-9.81,0.02
22.96,-0.07,-9.9,-0.11
22.976,-0.1,-9.87,0.02
22.992,-0.19,-9.87,0.06
23.008,-0.11,-9.77,-0.04
23.024,-0.08,-9.86,0.05
23.04,-0.07,-9.78,0.09
23.056,-0.1,-9.86,-0.13
23.072,-0.14,-9.84,0.1
23.088,-0.16,-9.83,0.03
23.104,-0.15,-9.92,0.04
23.12,-0.05,-9.82,-0.01
23.136,-0.18,-9.83,0.07
23.152,-0.17,-9.82,0.01
23.168,-0.18,-9.85,-0.0
23.184,-0.19,-9.88,0.06
23.2,-0.17,-9.9,-0.12
23.216,-0.15,-9.83,0.01
23.232,-0.22,-9.8,-0.09
23.248,-0.17,-9.83,-0.11
23.264,-0.15,-9.86,0.1
23.28,-0.23,-9.9,-0.05
23.296,-0.16,-9.8,0.1
23.312,-0.16,-9.86,0.04
23.328,-0.12,-9.86,-0.06
23.344,-0.17,-9.85,-0.08
23.36,-0.19,-9.84,0.11
23.376,-0.18,-9.78,0.07
23.392,-0.13,-9.83,0.06
23.408,-0.11,-9.79,0.07
23.424,-0.15,-9.84,0.07
23.44,-0.16,-9.78,0.07
23.456,-0.12,-9.89,0.03
23.472,-0.2,-9.82,-0.04
23.488,-0.15,-9.78,-0.06
23.504,-0.07,-9.8,0.1
23.52,-0.0,-9.85,0.03
23.536,-0.05,-9.86,0.05
23.552,-0.03,-9.78,0.01
23.568,0.02,-9.91,0.02
23.584,-0.04,-9.86,0.04
23.6,-0.01,-9.68,-0.04
23.616,-0.08,-9.79,0.03
23.632,-0.06,-9.82,-0.09
23.648,-0.08,-9.79,-0.13
23.664,-0.1,-9.81,-0.1
23.68,-0.15,-9.83,0.04
23.696,-0.01,-9.94,-0.0
23.712,0.02,-9.8,-0.04
23.728,-0.11,-9.81,-0.09
23.744,-0.2,-10.0,0.05
23.76,-0.13,-9.77,-0.18
23.776,-0.09,-9.84,-0.01
23.792,-0.02,-9.84,0.04
23.808,-0.09,-9.83,0.06
23.824,-0.09,-9.82,-0.03
23.84,-0.04,-9.79,-0.01
23.856,-0.13,-9.83,-0.05
23.872,-0.1,-9.89,-0.03
23.888,-0.11,-9.72,-0.03
23.904,-0.04,-9.73,-0.04
23.92,-0.11,-9.83,-0.1
23.936,-0.11,-9.84,-0.09
23.952,-0.18,-9.82,-0.08
23.968,-0.18,-9.79,-0.09
23.984,-0.2,-9.8,0.07
24.0,-0.22,-9.76,0.07
