time (seconds),accelerometer X (m/sec^2 highlighted),accelerometer Y (m/sec^2 highlighted),accelerometer Z (m/sec^2 highlighted)
12.563,-0.05,-9.55,-3.02
12.58,-0.02,-9.24,-2.53
12.596,-0.92,-10.09,-2.49
12.613,-0.37,-9.09,-2.91
12.629,-0.61,-9.5,-2.95
12.646,0.38,-8.86,-3.47
12.663,-0.29,-10.41,-3.4
12.679,0.09,-8.86,-3.2
12.696,-0.96,-10.37,-2.92
12.713,-0.13,-8.35,-2.99
12.73,-0.16,-8.89,-2.9
12.746,0.03,-8.66,-2.5
12.763,0.33,-9.6,-3.47
12.779,0.04,-8.93,-3.65
12.796,0.57,-9.2,-4.65
12.813,0.67,-9,-4.76
12.829,1.35,-8.87,-5.26
12.846,0.74,-8.43,-5.86
12.862,-0.29,-8.89,-5.73
12.88,0.02,-8.74,-5.31
12.896,-0.75,-8.44,-4.06
12.913,-0.21,-8.73,-2.82
12.929,-0.03,-8.76,-2.52
12.946,0.11,-9.19,-3.1
12.963,1.15,-9.07,-5.97
12.979,0.93,-9.54,-5.63
12.996,-0.67,-9.01,-3.39
13.012,-1.06,-9.84,-2.58
13.029,-1.04,-9.69,-2.16
13.046,-0.72,-10.33,-2.41
13.063,-0.94,-9.47,-2.81
13.079,-0.75,-9.91,-3.11
13.096,-0.32,-9.17,-3.25
13.116,-0.59,-9.13,-3.07
13.135,-0.62,-9.05,-2.4
13.152,-2.25,-9.46,-1.42
13.169,-2.5,-9.81,-1.56
13.185,-2.33,-10.31,-1.86
13.202,-3.87,-10.18,-1.33
13.219,-5.01,-10.55,-2.16
13.235,-4.4,-10.32,-2.71
13.246,-3.53,-10.06,-2.69
13.266,-3.13,-10.78,-3.02
13.285,-3.03,-10.8,-2.88
13.302,-4.56,-10.71,-2.55
13.318,-4.26,-9.55,-2.42
13.335,-3.48,-9.14,-2.05
13.352,-2.67,-8.83,-1.77
13.368,-3.41,-9.7,-2.26
13.385,-3.7,-8.79,-3.08
13.402,-4.55,-9.53,-4.42
13.418,-3.59,-8.45,-5.09
13.434,-2.76,-8.53,-4.51
13.452,-1.9,-8.09,-3.66
13.468,-2.74,-8.46,-3.57
13.485,-2.63,-8.16,-3.93
13.502,-3.3,-9.47,-5.35
13.518,-3.14,-9.03,-6.03
13.535,-2.86,-9.36,-5.79
13.551,-2.89,-8.62,-4.91
13.568,-2.68,-8.32,-4.94
13.585,-2.52,-8.3,-4.98
13.601,-1.66,-9.08,-4.97
13.618,-1.68,-8.73,-5.27
13.635,-1.68,-8.6,-5.48
13.652,-2.62,-8.28,-4.65
13.668,-1.97,-8.74,-3.95
13.685,-2.02,-7.98,-3.59
13.701,-1.63,-8.58,-3.68
13.718,-1.98,-8.72,-4.18
13.734,-1.06,-8.51,-5.11
13.746,-1.47,-8.55,-6.65
13.765,-1.17,-8.69,-6.99
13.784,-2.11,-8.82,-4.95
13.801,-1.92,-9.09,-3.14
13.818,-2,-9.47,-3.06
13.834,-0.58,-8.74,-3.8
13.851,-1.76,-8.48,-5.75
13.868,-0.75,-7.95,-5.5
13.885,-1.74,-9.05,-4.6
13.901,-1.97,-8.5,-3.97
13.918,-1.87,-9.55,-4.29
13.934,-2.35,-9.2,-4.22
13.951,-2.03,-9.87,-4.64
13.967,-1.39,-9.09,-4.51
13.984,-1.17,-9.16,-3.75
14.001,-1.23,-9.06,-3.61
14.018,-0.71,-9.15,-3.78
14.034,-0.52,-9.38,-4.6
14.051,-1.32,-9.09,-5.03
14.067,-1.36,-8.53,-5.22
14.084,-2.48,-8.01,-4.28
14.101,-2.99,-7.83,-3.02
14.117,-2.04,-8.23,-3.13
14.134,-1.32,-8.14,-4.32
14.151,-0.89,-8.87,-5.29
14.167,-1.49,-8.88,-5.68
14.184,-0.81,-8.75,-4.69
14.201,-1.57,-8.29,-4.95
14.217,-1.06,-8.42,-4.41
14.234,-1.57,-8.05,-4.01
14.251,-1.9,-7.8,-3.05
14.267,-1.5,-9.32,-2.28
14.284,-2.22,-9.15,-2.49
14.301,-1.03,-9.96,-3.66
14.317,-1.07,-9.47,-3.51
14.334,-1.6,-9.7,-4.77
14.351,-2.09,-9.14,-4.25
14.367,-2.2,-8.42,-3.86
14.384,-2.46,-8.39,-2.44
14.401,-2.61,-8.75,-3.61
14.417,-1.54,-9.36,-4.69
14.433,-1.53,-10.09,-3.5
14.45,-1.41,-9.86,-1.87
14.467,-0.41,-9.72,-1.01
14.484,-0.59,-8.29,-1.79
14.501,-0.88,-8.35,-2.23
14.517,-1.85,-7.91,-3.96
14.534,-2.08,-7.76,-5.83
14.551,-1.93,-8.11,-8.39
14.567,-1.98,-8.74,-8.3
14.583,-2.17,-10.41,-6.73
14.601,-2.02,-10.02,-5.67
14.617,-0.25,-9.51,-3.78
14.633,-1.11,-8.39,-3.6
14.65,-1.34,-8.57,-4.32
14.668,-2.35,-8.8,-5.88
14.683,-0.89,-8.51,-6.08
14.7,-0.58,-8.45,-5.36
14.717,-1.38,-9.83,-5.17
14.734,-0.92,-7.9,-4.35
14.75,-0.42,-7.46,-3.79
14.767,-0.59,-7.82,-3.17
14.783,-2.59,-6.83,-4.03
14.8,-2.49,-8.31,-4.4
14.817,-2.19,-8.29,-5.69
14.833,-1.45,-9.7,-5.89
14.85,-1.75,-9.58,-4.97
14.867,-2.41,-10.67,-3.02
14.884,0.19,-9.43,-1.79
14.9,1.49,-9.24,-2.07
14.917,-0.34,-8.88,-3.82
14.933,-1.31,-9.17,-4.98
14.95,-1.54,-8.54,-5.26
14.967,-2,-8.81,-3.82
14.984,-2.2,-8.9,-3.17
15,-2.25,-9.52,-2.93
15.016,-1.34,-9.52,-4.24
15.033,-0.79,-9.35,-5.01
15.05,-1.77,-9.61,-5.31
15.067,-2.81,-8.92,-4.14
15.082,-2.64,-9.33,-3.61
15.1,-1.93,-7.38,-3.01
15.116,-2.09,-9.04,-4.17
15.133,-0.99,-7.95,-3.84
15.15,-1.26,-8.42,-4.06
15.167,-1.13,-7.33,-4.06
15.183,-1.15,-8.73,-4.2
15.2,-0.98,-8.28,-3.84
15.216,-1.16,-8.72,-3.48
15.233,-0.53,-8.11,-4.34
15.249,-0.81,-8.54,-4.42
15.266,-0.59,-8.19,-5.08
15.282,-0.3,-8.98,-5.12
15.299,-0.39,-9.76,-5.85
15.316,-0.77,-9.25,-5.65
15.332,-0.76,-9.1,-3.53
15.349,-0.95,-9.23,-3.59
15.366,-1.07,-9.52,-4.76
15.383,-0.84,-9.29,-5.45
15.399,-0.87,-9.31,-4.78
15.416,-1.31,-8.89,-3.68
15.433,-0.65,-8.11,-4.03
15.45,-1.38,-7.89,-5.12
15.466,-0.59,-8.03,-5.06
15.483,-0.58,-8.57,-4.87
15.499,-0.37,-8.56,-5
15.516,-0.84,-8.43,-4.87
15.532,-1.33,-8.7,-4.43
15.55,-0.88,-8.76,-2.87
15.566,-1.1,-8.81,-2.87
15.581,-1.51,-9.13,-4.11
15.6,-1.05,-8.89,-5.17
15.616,-0.85,-9.59,-5.77
15.634,-1.08,-9.17,-5.44
15.65,-1.44,-9.28,-4.01
15.666,-1.58,-8.41,-3.6
15.683,-1.66,-8.41,-5.15
15.699,-0.93,-8.19,-5.33
15.716,-1.25,-8.52,-5.67
15.732,-0.97,-8.39,-3.72
15.749,-1.54,-9.09,-5.11
15.764,-0.85,-8.24,-4.72
15.779,-1.62,-9.41,-4.83
15.799,-0.81,-9.26,-3.51
15.816,-1.77,-8.76,-5.15
15.832,-0.7,-9.07,-5.2
15.849,-0.95,-8.34,-6.17
15.866,0.06,-8.18,-4.49
15.883,-0.88,-8.08,-5.13
15.897,-1.07,-7.64,-4.47
15.913,-0.98,-8.3,-3.81
15.932,-0.58,-9.13,-4.34
15.948,-0.57,-9.45,-5.83
15.965,0.17,-9.15,-5.43
15.982,-0.41,-8.28,-4.31
15.999,-0.69,-8.65,-3.29
16.015,-0.68,-8.28,-4.87
16.032,-1.55,-8.79,-5.39
16.048,-0.76,-9.32,-5.05
16.066,-0.9,-9.56,-6.6
16.082,-0.76,-9.08,-6.95
16.098,-1.13,-8.72,-6.19
16.115,-0.52,-8.03,-4.27
16.132,-2.03,-9.04,-5.57
16.149,-0.58,-7.63,-4.69
16.165,-0.76,-8.25,-3.76
16.182,-0.21,-7.97,-3.53
16.198,-0.1,-8.35,-5.79
16.215,0.03,-8.56,-6.48
16.231,0.34,-8.35,-5.12
16.249,-0.59,-9.25,-6.06
16.265,-0.04,-7.78,-5.53
16.281,-0.95,-8.52,-5.01
16.299,-0.32,-7.92,-4.42
16.315,-1.07,-8.05,-5.63
16.332,-0.87,-8.08,-5.2
16.348,-1.35,-8.47,-4.61
16.365,-1.2,-9.25,-4.97
16.382,-0.98,-8.57,-5.55
16.399,-0.36,-8.51,-4.75
16.416,-0.1,-8.46,-3.86
16.432,-0.79,-9.18,-5.07
16.448,-0.18,-8.46,-5.99
16.465,-0.45,-8.85,-4.9
16.482,-0.62,-9.26,-4.13
16.499,-1.61,-9.09,-4.85
16.515,-1.34,-8.76,-4.69
16.532,-1.08,-8.18,-4.61
16.548,-1.29,-8.47,-5.65
16.565,-1.33,-8.33,-6.29
16.58,-1.64,-8.42,-5.83
16.598,-0.34,-8.02,-4.94
16.615,-0.93,-8.38,-5.48
16.632,-0.74,-8.41,-4.85
16.649,-1.06,-9.25,-4.87
16.665,-1.17,-7.88,-4.78
16.682,-1.47,-8.07,-3.94
16.698,-1.61,-8.09,-6.2
16.715,-1.43,-8.72,-5.28
16.731,-1.39,-9,-4.54
16.748,-0.79,-8.09,-4.72
16.765,-0.83,-8.21,-5.33
16.781,-0.78,-7.93,-4.88
16.798,-0.93,-8.61,-6.15
16.814,-0.56,-8.49,-5.48
16.832,-1.15,-8.77,-4.78
16.848,-1.44,-8.56,-5.05
16.865,-1.54,-8.25,-6.04
16.881,-1.36,-8.07,-5.85
16.898,-0.76,-7.99,-3.77
16.915,-1.33,-8.44,-4.1
16.931,-0.98,-8.28,-6.44
16.948,-1.02,-8.94,-5.53
16.965,-0.95,-9.15,-4.13
16.981,-1.48,-9.25,-5.12
16.998,-1.51,-9.13,-5.74
17.014,-1.21,-8.46,-5.62
17.031,-1.23,-8.88,-5.05
17.047,-0.3,-8.37,-6.7
17.065,-0.56,-8.16,-6.73
17.081,-0.76,-8.07,-4.78
17.098,-0.66,-8.35,-5.81
17.114,-0.73,-7.88,-5.76
17.132,-1.15,-8.14,-4.39
17.147,-0.73,-8.54,-4.21
17.164,-1.63,-8.74,-5.33
17.181,-0.82,-7.67,-5.18
17.198,-0.76,-7.58,-4.37
17.213,-1.36,-8.31,-4.99
17.23,-0.49,-7.98,-5.81
17.247,-1.16,-8.61,-4.91
17.264,-0.2,-7.78,-4.47
17.281,-1.2,-8.56,-6.92
17.297,-0.87,-7.84,-5.19
17.314,-1.39,-8.39,-4.87
17.331,-1.67,-9.27,-5.4
17.348,-1.07,-8.97,-5.81
17.364,-1.4,-9.07,-5.91
17.38,-0.43,-8.61,-5.18
17.398,-1.57,-8.76,-6.56
17.414,-0.57,-8.21,-5.77
17.431,-1.4,-8.09,-4.64
17.447,-1.34,-8.55,-4.72
17.464,-1.48,-8.71,-5.71
17.481,-1.04,-8.46,-5.45
17.498,-1.16,-8.61,-4.89
17.514,-0.58,-8.44,-4.57
17.531,-1.21,-8.15,-5.38
17.547,-0.78,-7.84,-5.64
17.564,-0.64,-7.38,-4.11
17.581,-1.15,-7.87,-5.77
17.597,-0.46,-7.84,-5.5
17.614,-1.24,-8.14,-5.52
17.63,-1.18,-8.64,-5.74
17.647,-1.64,-8.38,-6.24
17.664,-1.79,-8.58,-5.57
17.68,-0.26,-8.03,-4.28
17.697,-1.03,-8.74,-5.35
17.714,-0.42,-8.73,-6.06
17.731,-0.59,-8.52,-6.16
17.747,-0.23,-8.62,-4.99
17.764,-1.19,-9.07,-5.86
17.781,-1.66,-8.44,-6.28
17.797,-1.56,-8.58,-5.4
17.814,-1.79,-8.8,-4.6
17.83,-0.98,-7.57,-5.19
17.847,-1.9,-7.12,-4.99
17.864,-1.48,-7.57,-4.13
17.88,-1.9,-7.48,-6.32
17.897,-0.41,-8.1,-6.77
17.914,-0.36,-8.37,-6.21
17.93,-0.63,-8.56,-4.59
17.947,-0.49,-8.55,-5.08
17.963,-0.8,-8.85,-5.41
17.98,-0.54,-8.93,-4.2
17.997,-1.18,-9.14,-5.41
18.013,-0.88,-8.48,-5.32
18.03,-1.78,-8.78,-5.56
18.047,-1.09,-8.39,-5.07
18.064,-2.16,-8.33,-6.33
18.08,-1.9,-8.16,-6.02
18.097,-1.77,-8.52,-5.38
18.113,-2.01,-8.78,-5.26
18.13,-0.9,-7.8,-5.98
18.147,-1.55,-7.77,-6.39
18.164,-0.39,-7.48,-5.03
18.18,-1.22,-7.39,-6.13
18.197,-0.08,-7.89,-5.47
18.213,-0.96,-7.92,-5.53
18.23,-0.84,-8.47,-5.03
18.247,-0.99,-8.78,-5.36
18.263,-0.83,-8.43,-5.85
18.28,-0.41,-7.92,-4.52
18.297,-1.33,-8.32,-4.95
18.313,-0.78,-8.13,-5.53
18.33,-1.72,-8.29,-5.29
18.347,-0.33,-7.68,-4.54
18.363,-1.91,-8.34,-6.4
18.38,-1.84,-8.19,-6.44
18.397,-1.27,-8.35,-6.16
18.413,-1.41,-8.54,-6.02
18.43,-1.51,-7.99,-6.76
18.447,-1.27,-8.17,-5.61
18.463,-0.84,-8.5,-5.45
18.48,-0.92,-8.48,-5.67
18.497,-1.02,-8.4,-5.86
18.513,-0.8,-8.22,-4.82
18.53,-0.1,-7.67,-4.32
18.547,-1.93,-7.6,-5.38
18.563,-1.62,-7.09,-5.93
18.58,-0.88,-8.05,-5.69
18.597,-1.14,-8.44,-5.43
18.613,-0.02,-7.99,-5.26
18.63,-1.02,-8.69,-5.79
18.647,-0.33,-8.06,-5.09
18.663,-0.94,-8.32,-6.3
18.68,-0.99,-8.1,-6.09
18.697,-1.4,-7.94,-5.77
18.713,-2.17,-8.79,-6.06
18.731,-1.92,-8.53,-6.26
18.747,-1.98,-8.78,-6.09
18.763,-1.05,-8.01,-4.06
18.78,-2.09,-8.89,-4.75
18.797,-1.2,-7.69,-6.3
18.813,-0.69,-7.6,-5.33
18.83,-0.3,-7.5,-5.22
18.847,-1.09,-7.73,-6.79
18.863,-1.26,-7.39,-5.96
18.88,-1.01,-7.58,-5.23
18.897,-1.35,-8.04,-5.17
18.913,-1.12,-7.49,-6.01
18.93,-1.72,-7.52,-5.33
18.947,-0.81,-7.65,-4.61
18.963,-1.74,-8.19,-5.89
18.98,-1.07,-7.95,-6.56
18.997,-0.75,-8.67,-6.01
19.013,-1.7,-8.43,-7.18
19.03,-0.72,-8.37,-6.51
19.047,-1.52,-8.36,-6.5
19.063,-1.51,-7.37,-4.9
19.08,-2.35,-8.23,-5.26
19.097,-2.21,-7.98,-5.59
19.113,-0.62,-8,-4.91
19.13,-1.64,-8.52,-5.61
19.147,-0.76,-8.37,-7.12
19.163,-0.98,-8.37,-6.28
19.18,0.08,-8.03,-4.75
19.197,-1.89,-8.91,-6.15
19.213,-1.77,-8.22,-6.28
19.23,-1.47,-7.83,-5.19
19.247,-1.78,-8.5,-5.17
19.263,-2.04,-8.02,-6.03
19.279,-2.08,-8.04,-5.94
19.297,-1.41,-7.61,-5.2
19.313,-1.08,-7.44,-6.28
19.33,-0.83,-6.62,-6.29
19.347,-0.77,-7.05,-5.37
19.363,-0.43,-7.08,-5.5
19.38,-0.63,-7.3,-6.48
19.397,-1.76,-8.04,-5.73
19.413,-1.35,-8.11,-5.57
19.429,-1.67,-8.81,-5.86
19.446,-0.86,-8.19,-6.5
19.463,-2.1,-8.58,-6.37
19.48,-1.14,-8.42,-5.25
19.497,-1.33,-8.39,-5.72
19.513,-2.13,-8.13,-6.19
19.53,-1.03,-8.09,-5.08
19.547,-2.41,-8.87,-7.18
19.563,-0.84,-8.24,-7.13
19.58,-1.59,-7.69,-5.16
19.597,-2.6,-8.93,-5.5
19.613,-1.82,-8.16,-6.11
19.63,-1.87,-8.25,-6.59
19.647,-0.99,-7.85,-5.94
19.663,-1.17,-8.3,-6.4
19.68,-0.9,-7.41,-6.78
19.697,-1.55,-7.3,-6.02
19.713,-0.62,-6.75,-5.38
19.73,-0.79,-7.54,-5.26
19.747,-1.97,-8.02,-5.42
19.763,-0.84,-7.14,-5.46
19.78,-1.58,-7.57,-5.91
19.797,-1.7,-8.24,-6.93
19.813,-1.74,-8.25,-6.81
19.83,-1.2,-8.23,-5.31
19.847,-1.2,-7.88,-7.17
19.863,-1.49,-7.03,-6.93
19.88,-1.02,-7.88,-5.24
19.897,-2.49,-8.32,-6.37
19.913,-1.42,-8.16,-6.36
19.93,-1.53,-8.55,-6.13
19.946,-1.6,-8.48,-6.5
19.963,-1.63,-8.39,-6.99
19.98,-1.77,-8.1,-6.45
19.997,-0.84,-7.45,-5.79
20.013,-2.05,-8.37,-6.68
20.03,-1.19,-7.73,-6.42
20.047,-1.92,-6.89,-6.03
20.063,-1.79,-7.52,-5.82
20.079,-2.05,-7.83,-6.45
20.096,-1.1,-7.72,-6.59
20.113,-0.8,-7.58,-6.09
20.129,-0.92,-7.69,-6.67
20.146,-0.32,-7.31,-7.19
20.163,-1,-7.15,-6.61
20.179,-2.23,-7.65,-6.17
20.196,-2.25,-7.38,-6.52
20.213,-1.67,-6.84,-6.23
20.229,-1.56,-7.72,-6.52
20.247,-1.29,-7.81,-7.66
20.263,-1.76,-7.26,-7.65
20.279,-0.28,-7.22,-6.08
20.296,-1.27,-7.59,-5.86
20.313,-1.23,-8.2,-6.54
20.329,-0.52,-7.53,-6.38
20.346,-0.6,-7.7,-5.55
20.363,-1.9,-7.4,-6.54
20.379,-0.8,-6.54,-6.38
20.396,-1.01,-6.55,-5.63
20.413,-1.93,-6.86,-5.71
20.429,-0.87,-7.17,-6.71
20.446,-0.76,-8.03,-6.45
20.463,-0.64,-8.74,-7.04
20.48,-1.08,-8.8,-8.3
20.497,-1.42,-8.64,-7.49
20.513,-1.42,-7.77,-6.41
20.529,-2.38,-7.44,-6.5
20.546,-2.05,-7.19,-6.94
20.562,-2.21,-6.44,-6.57
20.579,-1.95,-7.45,-6.61
20.596,-1.54,-7.33,-7.48
20.612,-0.31,-7.23,-7.66
20.629,-2.08,-7.45,-6.79
20.646,-1.11,-7.41,-7.33
20.663,-1.76,-7.51,-6.11
20.68,-2.1,-7.91,-5.29
20.696,-1.34,-6.23,-5.52
20.712,-2.04,-6.77,-6.31
20.73,-1.48,-7.59,-5.73
20.746,-2.43,-7.41,-5.57
20.763,-2.3,-6.94,-7.6
20.779,-0.83,-7.1,-6.49
20.796,-1.91,-8.08,-6.41
20.812,-1.22,-6.74,-8.62
20.829,-1.28,-7.65,-7.05
20.846,-0.68,-7.8,-6.83
20.863,-1.04,-7.93,-7.95
20.88,-1.42,-7.84,-7.7
20.896,-1.14,-7.53,-7.27
20.913,-1.9,-7.17,-6.05
20.929,-2.62,-7,-6.02
20.947,-2.03,-6.75,-6.07
20.962,-2.48,-7.49,-6.32
20.979,-1.26,-6.61,-8.01
20.996,-0.81,-7.09,-7.81
21.013,-1.19,-8,-6.45
21.03,-1.2,-7.27,-6.96
21.047,-1.28,-7.42,-6.68
21.062,-1.29,-7.2,-5.7
21.079,-1.47,-6.55,-5.74
21.096,-1.5,-6.84,-6.91
21.112,-0.9,-7.74,-5.91
21.129,-0.88,-8.28,-5.54
21.146,0.11,-8.27,-7.89
21.162,1.02,-8.45,-7.19
21.179,0.4,-8.55,-6.12
21.197,1.29,-7.81,-5.69
21.212,0.72,-7.69,-5.71
21.229,0.48,-7.66,-5.61
21.246,0.68,-8.19,-6.1
21.263,0.67,-7.87,-6.4
21.279,0.78,-8.15,-5.98
21.296,0.71,-7.93,-6.42
21.313,-0.28,-7.38,-6.63
21.33,0.18,-8.28,-5.66
21.347,-0.38,-7.56,-5.42
21.363,-0.72,-7.55,-6.8
21.38,0.65,-7.74,-6.22
21.397,-0.08,-7.45,-5.43
21.413,-0.54,-7.08,-6.31
21.43,0.61,-7.09,-5.97
21.447,-0.65,-8.2,-5.4
21.463,0.83,-7.89,-6.86
21.48,0.16,-8,-6.89
21.497,-0.15,-7.89,-6.03
21.513,0.17,-7.79,-6.53
21.53,-0.46,-6.69,-7.1
21.547,-0.55,-7.29,-6.02
21.562,0.35,-7.82,-6.07
21.58,-0.01,-7.2,-6.84
21.597,0.42,-7.93,-6.46
21.613,0.34,-7.68,-6.62
21.63,-0.11,-7.7,-7.4
21.647,0.61,-7.89,-6.14
21.663,-0.59,-8.1,-5.34
21.68,0.24,-8.4,-5.92
21.697,-0.16,-7.97,-5.65
21.713,-0.52,-7.58,-5.12
21.73,-0.01,-7.63,-5.57
21.747,-0.42,-7.08,-6.68
21.763,-0.79,-8.33,-5.31
21.78,-0.21,-7.88,-5.84
21.796,0.32,-7.73,-7.09
21.813,0.01,-8.14,-6.56
21.83,0.5,-7.56,-6.62
21.847,-0.57,-7.6,-6.84
21.863,-0.34,-7.73,-5.78
21.88,-0.73,-7.88,-5.8
21.897,-0.08,-7.4,-7.2
21.913,0.05,-8.01,-6.91
21.93,-0.37,-7.85,-6.48
21.947,-0.14,-7.54,-6.4
21.963,-0.51,-8.18,-5.28
21.979,-0.64,-8.34,-4.83
21.997,0.14,-8.08,-5.95
22.013,-0.32,-8.21,-5.28
22.03,-0.16,-8.37,-4.82
22.047,0.3,-8.66,-5.37
22.063,0.68,-8.91,-6.57
22.08,0.74,-8.79,-6.32
22.097,0.83,-7.76,-6.91
22.113,0.36,-7.06,-7.05
22.13,-0.16,-7.36,-5.77
22.147,0.46,-6.7,-5.29
22.163,-0.11,-6.68,-6.63
22.18,-0.65,-7.01,-6.34
22.197,-0.82,-7.7,-5.58
22.213,0.18,-8.45,-6.76
22.23,0.04,-9.03,-6.43
22.247,-0.46,-8.5,-5.91
22.263,-0.13,-8.48,-6.07
22.28,0.26,-7.4,-6.07
22.297,-0.97,-7.99,-4.48
22.313,0.09,-8.05,-4.45
22.329,0.67,-8.27,-5.96
22.347,0.51,-8.98,-5.55
22.363,1.25,-8.33,-5.75
22.38,1.16,-7.67,-5.57
22.397,-0.67,-7.97,-3.67
22.413,0.04,-7.35,-3.99
22.43,-0.38,-7.12,-6.35
22.447,0.14,-7.18,-5.09
22.463,-0.44,-6.87,-4.97
22.48,0.51,-7.25,-6.75
22.497,-0.15,-8.58,-5.32
22.513,-0.18,-8.61,-4.65
22.53,0.88,-8.74,-5.59
22.547,0.43,-8.42,-4.41
22.563,0.14,-7.91,-3.95
22.58,0.5,-7.4,-5
22.597,0.52,-7.77,-5.09
22.613,0.1,-7.96,-4.98
22.63,1.74,-7.6,-6.05
22.647,0.22,-9.05,-5.48
22.663,-0.52,-9.98,-4.41
22.68,0.52,-9.89,-4.66
22.697,0.23,-9.01,-6.15
22.713,-0.05,-8.53,-5.62
22.73,-0.4,-8.39,-4.82
22.747,0.35,-7.63,-6.4
22.762,0.51,-8.85,-6.62
22.78,0.66,-9.63,-7.32
22.797,0.59,-9.62,-6.26
22.813,0.9,-9.22,-4.71
22.83,-0.32,-8.26,-3.54
22.847,-0.76,-8.04,-4.32
22.863,0.03,-8.03,-4.26
22.88,0.07,-7.82,-5.46
22.897,1.65,-8.14,-7.74
22.913,2.6,-8.74,-8.1
22.93,1.81,-8.65,-7.42
22.947,1.03,-9.06,-6.18
22.963,0.65,-9.25,-5.17
22.98,-0.32,-8.91,-4.83
22.997,0.41,-8.5,-6.83
23.013,-0.11,-9,-6.63
23.03,0.24,-9.34,-5.7
23.047,1.04,-8.78,-7.58
23.063,0.51,-9.06,-7.3
23.08,0.24,-8.97,-5.11
23.097,0.63,-8.76,-5
23.113,0.36,-9.18,-5.12
23.13,0.15,-9.19,-4.72
23.147,1.34,-7.96,-5.54
23.163,0.65,-7.78,-5.71
23.18,0.42,-8.57,-5.05
23.197,2.04,-7.99,-6.55
23.213,1.18,-7.88,-6.76
23.23,0.89,-8,-4.6
23.247,0.62,-7.63,-4.39
23.262,0.51,-6.98,-5.18
23.28,0.25,-7.46,-4.97
23.297,0.22,-7.72,-5.6
23.313,0.4,-7.85,-6.69
23.33,-0.34,-8.9,-5.15
23.347,-0.22,-9.32,-5.28
23.363,1.51,-9.35,-5.38
23.38,0.95,-9.22,-4.87
23.397,1.09,-8.96,-5.63
23.413,1.77,-8.18,-6.39
23.43,1.03,-8.23,-4.78
23.447,0.79,-8.66,-4.75
23.463,0.61,-8.24,-5.09
23.48,0.23,-8.33,-4.26
23.497,1.09,-8.84,-4.36
23.513,1.55,-8.34,-4.76
23.53,0.94,-7.93,-4.49
23.547,1.24,-8.05,-4.45
23.563,1.17,-7.86,-5.85
23.58,0.29,-7.92,-5.69
23.597,0.94,-8.12,-5.49
23.613,0.96,-8.41,-5.92
23.63,0.5,-8.85,-5
23.647,0.47,-8.69,-4.69
23.663,0.29,-8.9,-4.54
23.68,0.87,-8.54,-3.91
23.697,1.08,-8.46,-3.85
23.713,0.46,-8.52,-6.21
23.73,0.12,-8.59,-6.16
23.746,1,-8.42,-5.4
23.763,0.22,-7.8,-5.81
23.78,0.12,-7.56,-4.83
23.797,-0.23,-7.5,-4.4
23.813,-0.16,-7.54,-5.37
23.83,0.24,-7.38,-5.66
23.847,0.24,-8.29,-5.09
23.863,0.41,-8.93,-5.01
23.88,0.81,-8.68,-6.42
23.897,0.6,-8.53,-5.92
23.913,0.47,-7.9,-5.66
23.93,-0.36,-8.2,-5.58
23.947,-1.27,-8.29,-4.95
23.963,-0.02,-8.91,-4.63
23.98,0.3,-8.85,-6.27
23.997,0.6,-8.31,-6.12
24.013,0.71,-8.12,-5.46
24.03,0.73,-7.68,-6.29
24.047,0.53,-7.84,-6.11
24.063,0.24,-7.91,-5.43
24.08,0.37,-8.03,-5.46
24.097,0.36,-7.9,-5
24.113,0.23,-8.37,-4.13
24.13,0.1,-8.17,-5.36
24.147,0.04,-7.81,-5.68
24.163,0.53,-7.85,-5.54
24.18,0.3,-8.15,-5.49
24.197,0.24,-8.27,-6.01
24.213,0.19,-8.73,-5.34
24.23,0.12,-8.98,-5.12
24.246,0.29,-8.52,-5.49
24.263,0.63,-8.69,-4.98
24.28,-0.18,-8.58,-4.81
24.297,0.82,-7.74,-5.33
24.313,0.51,-7.93,-4.49
24.33,0.28,-7.63,-4.11
24.347,0.66,-7.54,-4.52
24.363,0.53,-8.21,-4.84
24.38,0.57,-8.15,-5.19
24.397,0.88,-7.59,-6.2
24.413,0.01,-8.1,-4.99
24.43,-0.41,-8.69,-4.39
24.447,-0.18,-8.72,-5.12
24.463,0.34,-9.27,-5.48
24.48,0.73,-9.77,-5.74
24.497,0.99,-9.47,-6.38
24.513,0.95,-8.6,-5.24
24.53,0.35,-8.34,-4.48
24.547,0.42,-7.99,-3.55
24.563,-1.12,-7.82,-2.63
24.58,-0.58,-8.43,-2.81
24.597,1.17,-8.5,-5.1
24.613,-0.52,-8.65,-5.8
24.63,0.46,-9.09,-5.57
24.647,0.24,-8.76,-5.4
24.663,0.6,-9,-4.81
24.68,0.75,-9.16,-4.82
24.697,0.53,-9.15,-4.99
24.713,-0.45,-9.1,-4.84
24.73,-0.13,-8.76,-4.77
24.747,-0.6,-7.9,-4.63
24.763,-1.42,-8.1,-4.07
24.78,-0.97,-8.34,-3.4
24.797,-0.61,-8.9,-1.62
24.813,-0.14,-9.3,-3.81
24.83,0.31,-9.46,-4.54
24.847,-0.26,-9.94,-5.21
24.863,-0.19,-8.79,-5.37
24.88,-0.34,-8.95,-4.53
24.897,0.01,-8.57,-3.27
24.913,0.42,-8.45,-3.66
24.93,-0.08,-8.71,-3.68
24.947,-0.27,-8.98,-3.94
